Cofactor,LUMO,dG_C4,dG_C5,N1_NBO-q,Nsub_NBO-q,C2_NBO-q,C3_NBO-q,C3sub_NBO-q,C4_NBO-q,C5_NBO-q,C6_NBO-q,N1_f+,Nsub_f+,C2_f+,C3_f+,C4_f+,C5_f+,C6_f+,N1_f-,Nsub_f-,C2_f-,C3_f-,C3sub_f-,C4_f-,C5_f-,C6_f-,C4H_f-,C4H_f+,C4H_NBO-q,Set
C6a,-0.0379,-45.19651692,-132.3395143,-0.37176,-0.21659,0.10758,-0.26071,0.7415,-0.45636,-0.23363,-0.05288,0.01491,-0.00591,0.25587,0.04879,-0.01319,0.14054,0.0434,0.18527,-0.01967,-0.02419,0.22759,-0.0074,-0.05829,0.17125,0.03365,0.085245,0.023365,0.22263,Training
C6b,-0.0442,-44.68891098,-128.7355153,-0.36303,-0.21694,0.09831,-0.25601,0.73886,-0.45116,-0.01352,-0.06051,0.02043,-0.00709,0.26463,0.03948,-0.01422,0.1184,0.0256,0.17503,-0.01782,-0.02587,0.20969,-0.00311,-0.05863,0.16892,0.04626,0.08367,0.02352,0.21882,Training
E1a,-0.0199,-47.90199184,-129.4105786,-0.38255,0.14502,0.07764,-0.21143,0.62153,-0.47585,-0.23054,-0.04518,-0.00566,0.00122,0.25476,0.08596,-0.01388,0.10166,0.03659,0.17524,-0.03279,-0.01697,0.19266,-0.01474,-0.05295,0.16282,0.02455,0.07533,0.02076,0.226975,Validation
E1b,-0.0526,-47.31115811,-126.1294028,-0.37333,0.1457,0.07774,-0.21674,0.62137,-0.47154,-0.00325,-0.06008,-0.00265,0.00721,0.25216,0.0787,-0.01474,0.07997,0.0235,0.16805,-0.03323,-0.02124,0.19,-0.01335,-0.05407,0.1517,0.03626,0.074235,0.020155,0.224675,Training
E2a,-0.0352,-53.6518775,-125.8520276,-0.37884,0.14223,0.10015,-0.25158,0.32377,-0.44567,-0.22784,-0.04536,-0.00435,-0.00223,0.26729,0.10731,-0.01352,0.118,0.04657,0.17247,-0.03051,-0.01542,0.18769,-0.02,-0.04824,0.16215,0.02723,0.073565,0.021985,0.231175,Training
E2b,-0.0343,-52.588265,-122.7560995,-0.36943,0.14303,0.09923,-0.25689,0.32426,-0.44197,-0.00085,-0.06086,-0.00104,0.00413,0.26605,0.10131,-0.01455,0.09388,0.03155,0.16458,-0.03124,-0.01895,0.18521,-0.01884,-0.04948,0.1517,0.03996,0.07248,0.021575,0.22892,Validation
E5a,-0.0452,-40.66451,-134.11683,-0.39266,0.15027,0.03099,-0.20871,0.71933,-0.46695,-0.24583,-0.04637,-0.0154,0.01276,0.23522,0.13018,-0.01467,0.09796,0.04838,0.18027,-0.03685,-0.00461,0.19028,-0.01836,-0.05288,0.16412,0.01764,0.07629,0.021035,0.220605,Training
E5b,-0.0522,-39.611565,-131.4662701,-0.3845,0.15085,0.03269,-0.21489,0.7198,-0.46235,-0.01715,-0.06097,-0.01448,0.03126,0.22116,0.1205,-0.01468,0.06484,0.02749,0.17526,-0.03709,-0.011,0.18919,-0.01737,-0.05398,0.15229,0.02768,0.07506,0.01976,0.218235,Training
E3a,-0.0547,-49.92672579,-127.542198,-0.37436,0.14076,0.09762,-0.21212,0.54111,-0.46516,-0.21849,-0.05284,0.00969,-0.00615,0.24844,0.01137,-0.0081,0.09103,0.01505,0.16563,-0.03006,-0.02209,0.18325,0.00441,-0.04997,0.15718,0.03308,0.075165,0.019125,0.228265,Training
E4a,-0.0432,-52.59267076,-124.3435044,-0.36966,0.13815,0.1149,-0.21856,0.36191,-0.47248,-0.21089,-0.05402,0.011,-0.0073,0.24179,0.00367,-0.00692,0.09815,0.01507,0.16007,-0.02735,-0.02263,0.17459,0.01146,-0.04629,0.15368,0.03645,0.07288,0.020265,0.23307,Validation
E4b,-0.0407,-52.37335737,-120.1858483,-0.35915,0.13873,0.11377,-0.22242,0.35925,-0.4691,0.01469,-0.06947,0.01557,-0.00532,0.2385,-0.00207,-0.00767,0.08394,0.00655,0.15049,-0.02789,-0.02484,0.17017,0.01344,-0.04729,0.1449,0.05098,0.071545,0.020285,0.23098,Training
E6a,-0.0169,-49.98414002,-127.8462225,-0.37761,0.14256,0.0922,-0.22589,0.74594,-0.46019,-0.22393,-0.04987,0.00126,-0.0029,0.25668,0.05863,-0.01082,0.09989,0.02764,0.16992,-0.03084,-0.02014,0.18894,-0.00662,-0.05063,0.15984,0.03137,0.076205,0.02028,0.228155,Training
E6b,-0.0502,-49.0166919,-124.5832449,-0.36751,0.14329,0.09157,-0.23096,0.74507,-0.45617,0.00277,-0.06522,0.00484,0.00109,0.25398,0.05182,-0.01162,0.08173,0.01665,0.16129,-0.03121,-0.02343,0.18569,-0.00495,-0.05168,0.14901,0.04397,0.07468,0.01978,0.22603,Training
J1a,-0.0342,-47.03300741,-130.6885288,-0.38078,0.10799,0.07993,-0.2187,0.62045,-0.47408,-0.23458,-0.04406,-0.00087,-0.00851,0.25862,0.08272,-0.01461,0.11841,0.0439,0.1688,-0.0184,-0.02015,0.18832,-0.0132,-0.05067,0.15495,0.01862,0.071755,0.021625,0.22507,Training
J1b,-0.0504,-46.61707953,-126.9890578,-0.3714,0.10877,0.08033,-0.22464,0.62015,-0.47009,-0.00635,-0.05893,0.00414,-0.00644,0.26022,0.07505,-0.01582,0.09622,0.03016,0.16367,-0.02113,-0.0234,0.18823,-0.01206,-0.05233,0.14488,0.02938,0.071455,0.021295,0.22268,Training
J2a,-0.0274,-52.42495812,-126.9296021,-0.37697,0.10469,0.10176,-0.259,0.32349,-0.44431,-0.23161,-0.04421,0.00012,-0.01106,0.26942,0.10465,-0.01439,0.13483,0.05472,0.16442,-0.01404,-0.0179,0.18278,-0.01861,-0.04585,0.15276,0.0207,0.069625,0.022905,0.22931,Validation
J2b,-0.0342,-51.73078625,-123.9805984,-0.3673,0.10575,0.10056,-0.26469,0.32391,-0.44054,-0.00372,-0.05969,0.00515,-0.00875,0.27212,0.09881,-0.01576,0.11076,0.03992,0.15903,-0.01751,-0.02065,0.18294,-0.01778,-0.04752,0.14335,0.03215,0.0693,0.022865,0.227045,Training
J5a,-0.0305,-39.19898375,-135.9924275,-0.39274,0.11389,0.03425,-0.21735,0.71883,-0.46505,-0.25181,-0.04483,-0.01141,-0.0043,0.24524,0.12886,-0.01585,0.12701,0.06541,0.17793,-0.02617,-0.00948,0.18882,-0.01741,-0.0516,0.16071,0.01258,0.07389,0.022205,0.218165,Training
J5b,-0.0482,-38.3026,-133.1865614,-0.38445,0.11476,0.03591,-0.22373,0.71914,-0.46033,-0.02205,-0.05943,-0.00272,0.00108,0.13107,0.07859,-0.01067,0.05559,0.02091,0.17423,-0.02792,-0.01469,0.18916,-0.01658,-0.05302,0.14889,0.0218,0.07327,0.01445,0.215675,Training
J3b,-0.0305,-47.108684,-126.1384822,-0.35776,0.10444,0.10965,-0.2392,0.54376,-0.46264,0.00729,-0.06646,0.0215,-0.01243,0.25576,0.00304,-0.01069,0.08749,0.00872,0.14961,-0.01832,-0.02568,0.18885,0.00418,-0.05148,0.1332,0.0356,0.071065,0.01981,0.225075,Validation
J4a,-0.0468,-53.40485165,-124.3610919,-0.36607,0.10041,0.11662,-0.22383,0.3582,-0.47177,-0.21308,-0.05325,0.01678,-0.01406,0.24411,0.00131,-0.00782,0.10978,0.01796,0.15067,-0.01009,-0.02409,0.16827,0.01367,-0.04347,0.14271,0.0291,0.06814,0.02147,0.23174,Training
J4b,-0.0384,-51.60027597,-121.2346218,-0.35523,0.10123,0.11504,-0.22757,0.35539,-0.46836,0.01323,-0.06865,0.02234,-0.01329,0.24118,-0.00457,-0.00868,0.09444,0.00886,0.14375,-0.01355,-0.02571,0.16646,0.01552,-0.04478,0.1351,0.04239,0.067585,0.021745,0.22977,Training
J6a,-0.0197,-48.31394418,-129.1241891,-0.37511,0.10502,0.09893,-0.23691,0.74538,-0.45919,-0.22748,-0.04894,0.00671,-0.01113,0.26089,0.05734,-0.0118,0.11391,0.03278,0.16239,-0.01592,-0.02266,0.18736,-0.00577,-0.04879,0.15019,0.02438,0.07206,0.02104,0.22712,Validation
J6b,-0.047,-47.61239919,-125.8294166,-0.36532,0.10568,0.09388,-0.23905,0.7431,-0.4545,0.00011,-0.06412,0.01204,-0.0098,0.25911,0.04785,-0.01263,0.09593,0.02112,0.1564,-0.01873,-0.02492,0.1844,-0.00344,-0.04989,0.14182,0.03677,0.07179,0.021065,0.22411,Training
F1a,-0.0498,-45.28019231,-133.2799529,-0.37839,-0.24517,0.08439,-0.23521,0.61999,-0.47242,-0.24034,-0.04657,0.00395,-0.00424,0.2373,0.07655,-0.01557,0.13899,0.05379,0.193,-0.01784,-0.01741,0.22657,-0.01754,-0.06072,0.1792,0.03043,0.085685,0.02214,0.221955,Validation
F1b,-0.0377,-44.29459848,-129.7588417,-0.36815,-0.24463,0.08476,-0.24252,0.6194,-0.46814,-0.01055,-0.06138,0.0108,-0.00416,0.23864,0.06862,-0.017,0.11644,0.04055,0.18339,-0.01733,-0.02281,0.22325,-0.01553,-0.06149,0.16471,0.04246,0.08372,0.02221,0.2195,Training
F2a,-0.0306,-50.53571212,-130.0328508,-0.3682,-0.24553,0.1028,-0.27218,0.32399,-0.44347,-0.23665,-0.04875,0.00334,-0.00557,0.24803,0.09583,-0.01417,0.13964,0.05586,0.19076,-0.01664,-0.01459,0.2157,-0.02265,-0.05405,0.17771,0.03287,0.08199,0.022305,0.22683,Training
F2b,-0.0161,-50.01702071,-126.1609668,-0.36318,-0.24467,0.10271,-0.28085,0.32428,-0.43927,-0.00756,-0.06248,0.01091,-0.00451,0.24837,0.0909,-0.01698,0.12872,0.05014,0.17923,-0.01699,-0.01933,0.21552,-0.02157,-0.05594,0.16544,0.04743,0.08148,0.02364,0.22427,Training
F5a,-0.0159,-37.08859667,-139.3054184,-0.39539,-0.24557,0.03802,-0.23453,0.71875,-0.46332,-0.26042,-0.04678,-0.00602,-0.0055,0.16633,0.09869,-0.01455,0.12693,0.06535,0.2031,-0.01857,-0.00441,0.2253,-0.02207,-0.06086,0.1827,0.02095,0.08697,0.018435,0.214765,Training
F3a,-0.0129,-48.48626598,-129.9658568,-0.36469,-0.24566,0.10522,-0.23279,0.5345,-0.46285,-0.22403,-0.0553,0.0228,-0.0043,0.24691,0.00665,-0.01047,0.12137,0.0226,0.17822,-0.0167,-0.02253,0.21338,0.00489,-0.05633,0.16933,0.03987,0.084255,0.02204,0.224265,Training
F3b,-0.0448,-45.92914524,-128.4224078,-0.34979,-0.24499,0.1156,-0.25593,0.5393,-0.46105,0.00608,-0.07006,0.03145,-0.00436,0.25348,0.00034,-0.01246,0.10486,0.01212,0.16415,-0.01569,-0.02519,0.2231,0.00258,-0.05989,0.14786,0.04816,0.082445,0.02215,0.222515,Training
F4a,-0.0457,-51.96672588,-125.7867675,-0.35731,-0.24552,0.12154,-0.2374,0.35338,-0.47089,-0.21436,-0.05717,0.02361,-0.00442,0.24137,-0.00065,-0.00954,0.1303,0.02403,0.17085,-0.01596,-0.02257,0.20406,0.01254,-0.052,0.16365,0.04386,0.08153,0.02365,0.22961,Training
F4b,-0.0369,-50.53712533,-122.0829473,-0.34559,-0.24495,0.12036,-0.24156,0.35009,-0.4674,0.01295,-0.07269,0.03125,-0.00433,0.24032,-0.00666,-0.01089,0.11304,0.01361,0.15837,-0.01524,-0.02559,0.19775,0.0152,-0.05263,0.15229,0.05859,0.0793,0.0246,0.22755,Training
F6a,-0.0273,-46.81149987,-131.4566066,-0.37024,-0.24542,0.09884,-0.2494,0.74245,-0.45739,-0.23116,-0.05216,0.01255,-0.0042,0.24865,0.05121,-0.01286,0.13517,0.04038,0.18492,-0.01738,-0.02058,0.22213,-0.00784,-0.05756,0.17451,0.03849,0.08614,0.02249,0.22369,Training
F6b,-0.015,-46.09154799,-127.4758182,-0.35944,-0.24476,0.09849,-0.25583,0.74102,-0.45321,-0.00225,-0.06724,0.02011,-0.00419,0.24924,0.04348,-0.01432,0.11501,0.02817,0.17381,-0.01651,-0.02509,0.21699,-0.00549,-0.05843,0.16066,0.05193,0.08395,0.022805,0.22141,Training
