Cofactor,dG_C5,N1_NBO-q,C2_NBO-q,C3_NBO-q,C5_NBO-q,C3_f-,C3sub_f-,C4H_f-,C4H_NBO-q,Set,dG_C5_pred
BMC_052,-122.7560995,-0.36943,0.09923,-0.25689,-0.00085,0.18521,-0.01884,0.07248,0.22892,Training,-122.83605337687146
BMC_053,-134.11683,-0.39266,0.03099,-0.20871,-0.24583,0.19028,-0.01836,0.07629,0.220605,Training,-134.58186124737557
BMC_055,-127.542198,-0.37436,0.09762,-0.21212,-0.21849,0.18325,0.00441,0.075165,0.228265,Training,-127.72345070062462
BMC_057,-124.3435044,-0.36966,0.1149,-0.21856,-0.21089,0.17459,0.01146,0.07288,0.23307,Training,-123.97009094694971
BMC_058,-120.1858483,-0.35915,0.11377,-0.22242,0.01469,0.17017,0.01344,0.071545,0.23098,Training,-120.37330940983179
BMC_059,-127.8462225,-0.37761,0.0922,-0.22589,-0.22393,0.18894,-0.00662,0.076205,0.228155,Training,-128.21322347836906
BMC_060,-124.5832449,-0.36751,0.09157,-0.23096,0.00277,0.18569,-0.00495,0.07468,0.22603,Training,-124.65173333821247
BMC_061,-130.6885288,-0.38078,0.07993,-0.2187,-0.23458,0.18832,-0.0132,0.071755,0.22507,Training,-130.57676156078037
BMC_062,-126.9890578,-0.3714,0.08033,-0.22464,-0.00635,0.18823,-0.01206,0.071455,0.22268,Training,-127.24399841393996
BMC_063,-126.9296021,-0.37697,0.10176,-0.259,-0.23161,0.18278,-0.01861,0.069625,0.22931,Training,-127.31802184878617
BMC_065,-135.9924275,-0.39274,0.03425,-0.21735,-0.25181,0.18882,-0.01741,0.07389,0.218165,Training,-136.14261647042918
BMC_066,-133.1865614,-0.38445,0.03591,-0.22373,-0.02205,0.18916,-0.01658,0.07327,0.215675,Training,-132.85907432011876
BMC_068,-126.1384822,-0.35776,0.10965,-0.2392,0.00729,0.18885,0.00418,0.071065,0.225075,Training,-124.79830327794558
BMC_069,-124.3610919,-0.36607,0.11662,-0.22383,-0.21308,0.16827,0.01367,0.06814,0.23174,Training,-124.56163523364748
BMC_070,-121.2346218,-0.35523,0.11504,-0.22757,0.01323,0.16646,0.01552,0.067585,0.22977,Training,-120.95161064881661
BMC_071,-129.1241891,-0.37511,0.09893,-0.23691,-0.22748,0.18736,-0.00577,0.07206,0.22712,Training,-128.7407362768229
BMC_072,-125.8294166,-0.36532,0.09388,-0.23905,0.00011,0.1844,-0.00344,0.07179,0.22411,Training,-125.79129925991606
BMC_073,-133.2799529,-0.37839,0.08439,-0.23521,-0.24034,0.22657,-0.01754,0.085685,0.221955,Training,-133.6618050011482
BMC_074,-129.7588417,-0.36815,0.08476,-0.24252,-0.01055,0.22325,-0.01553,0.08372,0.2195,Training,-130.22525336946123
BMC_075,-130.0328508,-0.3682,0.1028,-0.27218,-0.23665,0.2157,-0.02265,0.08199,0.22683,Training,-129.74957364684704
BMC_076,-126.1609668,-0.36318,0.10271,-0.28085,-0.00756,0.21552,-0.02157,0.08148,0.22427,Training,-126.59983893211275
BMC_077,-139.3054184,-0.39539,0.03802,-0.23453,-0.26042,0.2253,-0.02207,0.08697,0.214765,Training,-139.52496839485224
BMC_079,-129.9658568,-0.36469,0.10522,-0.23279,-0.22403,0.21338,0.00489,0.084255,0.224265,Training,-130.92369777523925
BMC_081,-125.7867675,-0.35731,0.12154,-0.2374,-0.21436,0.20406,0.01254,0.08153,0.22961,Training,-126.72911279426043
BMC_082,-122.0829473,-0.34559,0.12036,-0.24156,0.01295,0.19775,0.0152,0.0793,0.22755,Training,-122.9983447726749
BMC_083,-131.4566066,-0.37024,0.09884,-0.2494,-0.23116,0.22213,-0.00784,0.08614,0.22369,Training,-131.889906172421
