Cofactor,dG_C5,N1_NBO-q,C2_NBO-q,C3_NBO-q,C5_NBO-q,C3_f-,C3sub_f-,C4H_f-,C4H_NBO-q,Set,dG_C5_pred
C5a,-139.4694081,-0.40352,0.02152,-0.22615,-0.27297,0.21198,-0.02033,0.087415,0.213865,Training,-140.3440452644492
C5b,-136.1003039,-0.39116,0.03912,-0.24138,-0.04327,0.21396,-0.01867,0.0851,0.20937,Training,-137.54237767716276
C3a,-130.4932975,-0.36791,0.10459,-0.23187,-0.23577,0.20453,0.00789,0.083875,0.22207,Training,-131.6388688052996
C3b,-127.9363957,-0.35379,0.11488,-0.2546,-0.00496,0.21444,0.00555,0.082205,0.220275,Training,-128.35480046475476
C4b,-121.9618407,-0.34758,0.12226,-0.24572,0.01106,0.19824,0.01729,0.078795,0.226265,Training,-124.10168393789182
C6a,-132.3395143,-0.37176,0.10758,-0.26071,-0.23363,0.22759,-0.0074,0.085245,0.22263,Training,-132.88623975609366
C6b,-128.7355153,-0.36303,0.09831,-0.25601,-0.01352,0.20969,-0.00311,0.08367,0.21882,Training,-129.23507068422023
E1a,-129.4105786,-0.38255,0.07764,-0.21143,-0.23054,0.19266,-0.01474,0.07533,0.226975,Training,-129.46486973835795
E1b,-126.1294028,-0.37333,0.07774,-0.21674,-0.00325,0.19,-0.01335,0.074235,0.224675,Training,-125.8490976808646
E2a,-125.8520276,-0.37884,0.10015,-0.25158,-0.22784,0.18769,-0.02,0.073565,0.231175,Training,-126.27293851078527
E2b,-122.7560995,-0.36943,0.09923,-0.25689,-0.00085,0.18521,-0.01884,0.07248,0.22892,Training,-122.68502052371109
E5b,-131.4662701,-0.3845,0.03269,-0.21489,-0.01715,0.18919,-0.01737,0.07506,0.218235,Training,-131.53659824430375
E3a,-127.542198,-0.37436,0.09762,-0.21212,-0.21849,0.18325,0.00441,0.075165,0.228265,Training,-127.65910051418533
E4a,-124.3435044,-0.36966,0.1149,-0.21856,-0.21089,0.17459,0.01146,0.07288,0.23307,Training,-124.2280043288941
E4b,-120.1858483,-0.35915,0.11377,-0.22242,0.01469,0.17017,0.01344,0.071545,0.23098,Training,-120.4261716739168
E6a,-127.8462225,-0.37761,0.0922,-0.22589,-0.22393,0.18894,-0.00662,0.076205,0.228155,Training,-128.13871643740464
E6b,-124.5832449,-0.36751,0.09157,-0.23096,0.00277,0.18569,-0.00495,0.07468,0.22603,Training,-124.47186110001493
J1b,-126.9890578,-0.3714,0.08033,-0.22464,-0.00635,0.18823,-0.01206,0.071455,0.22268,Training,-127.1539437077513
J2b,-123.9805984,-0.3673,0.10056,-0.26469,-0.00372,0.18294,-0.01778,0.0693,0.227045,Training,-123.97976656101346
J5a,-135.9924275,-0.39274,0.03425,-0.21735,-0.25181,0.18882,-0.01741,0.07389,0.218165,Training,-136.60985033994407
J5b,-133.1865614,-0.38445,0.03591,-0.22373,-0.02205,0.18916,-0.01658,0.07327,0.215675,Training,-133.20045757713044
J3b,-126.1384822,-0.35776,0.10965,-0.2392,0.00729,0.18885,0.00418,0.071065,0.225075,Training,-125.13152999800234
J4a,-124.3610919,-0.36607,0.11662,-0.22383,-0.21308,0.16827,0.01367,0.06814,0.23174,Training,-125.04070271796346
J4b,-121.2346218,-0.35523,0.11504,-0.22757,0.01323,0.16646,0.01552,0.067585,0.22977,Training,-121.29519248778684
J6a,-129.1241891,-0.37511,0.09893,-0.23691,-0.22748,0.18736,-0.00577,0.07206,0.22712,Training,-129.01527815810712
J6b,-125.8294166,-0.36532,0.09388,-0.23905,0.00011,0.1844,-0.00344,0.07179,0.22411,Training,-125.81789929955319
F1a,-133.2799529,-0.37839,0.08439,-0.23521,-0.24034,0.22657,-0.01754,0.085685,0.221955,Training,-133.46775500245175
F1b,-129.7588417,-0.36815,0.08476,-0.24252,-0.01055,0.22325,-0.01553,0.08372,0.2195,Training,-129.9718731400449
F5a,-139.3054184,-0.39539,0.03802,-0.23453,-0.26042,0.2253,-0.02207,0.08697,0.214765,Training,-139.84736857356765
F3a,-129.9658568,-0.36469,0.10522,-0.23279,-0.22403,0.21338,0.00489,0.084255,0.224265,Training,-130.7860890358886
F4a,-125.7867675,-0.35731,0.12154,-0.2374,-0.21436,0.20406,0.01254,0.08153,0.22961,Training,-126.99025744570243
F4b,-122.0829473,-0.34559,0.12036,-0.24156,0.01295,0.19775,0.0152,0.0793,0.22755,Training,-123.09651552191946
F6a,-131.4566066,-0.37024,0.09884,-0.2494,-0.23116,0.22213,-0.00784,0.08614,0.22369,Training,-131.7816293872975
F6b,-127.4758182,-0.35944,0.09849,-0.25583,-0.00225,0.21699,-0.00549,0.08395,0.22141,Training,-128.09390047836536
G1a,-135.1883452,-0.3867,0.09283,-0.24184,-0.2416,0.22793,-0.01749,0.08453,0.22094,Training,-134.38378281041292
G2a,-130.6958047,-0.3811,0.11099,-0.28095,-0.23916,0.22102,-0.02334,0.082365,0.225335,Training,-131.05090614952658
G2b,-127.1032326,-0.37169,0.10965,-0.2868,-0.00969,0.21687,-0.02176,0.080835,0.22304,Training,-127.40322464872368
G5a,-140.1381113,-0.40321,0.03814,-0.23053,-0.27482,0.211,-0.01978,0.0865,0.212595,Training,-140.28879509785634
G5b,-136.7543693,-0.39521,0.04993,-0.25003,-0.03014,0.22606,-0.02089,0.084555,0.210615,Training,-137.605462115765
G3a,-130.3073681,-0.37366,0.11362,-0.23859,-0.2271,0.21361,0.00537,0.08308,0.223365,Training,-131.62171891639198
G4a,-126.6577383,-0.36596,0.12176,-0.23356,-0.22707,0.18912,0.01511,0.081,0.22799,Training,-127.1387814575151
G4b,-123.8408843,-0.35519,0.12605,-0.2445,0.0098,0.19646,0.0159,0.07856,0.22682,Training,-123.763864802367
G6a,-133.2294503,-0.38447,0.10869,-0.25317,-0.23372,0.21917,-0.00793,0.08425,0.223665,Training,-132.08161486798141
G6b,-129.3385523,-0.36781,0.09835,-0.25258,-0.01495,0.20257,-0.0032,0.083195,0.21939,Training,-128.51790349918815
H1a,-134.6306638,-0.38298,0.09349,-0.24652,-0.241,0.23187,-0.01694,0.085305,0.219985,Training,-135.01442008314052
H2b,-127.8460982,-0.3687,0.11006,-0.2914,-0.00843,0.22059,-0.02182,0.08139,0.22241,Training,-127.88128736657059
H5a,-140.9018833,-0.39917,0.03615,-0.23232,-0.27545,0.21485,-0.02,0.08651,0.212315,Training,-140.74223330246605
H5b,-137.2334134,-0.38818,0.05901,-0.2519,-0.02859,0.23256,-0.02131,0.085755,0.209065,Training,-137.9712330622931
H4a,-126.6705391,-0.36439,0.13725,-0.24477,-0.21638,0.20428,0.01288,0.080625,0.228365,Training,-127.48148203319393
H4b,-123.4763476,-0.35279,0.13472,-0.24797,0.01254,0.19808,0.01564,0.078415,0.22662,Training,-123.47661187664795
H6a,-133.2837787,-0.37658,0.12063,-0.26361,-0.2331,0.22809,-0.00912,0.08515,0.222885,Training,-132.3059946061086
K1a,-132.7667064,-0.39279,0.09382,-0.23869,-0.24011,0.22434,-0.01804,0.083615,0.222545,Training,-133.51361158122631
K1b,-129.6773516,-0.38413,0.09433,-0.24456,-0.01049,0.21961,-0.01611,0.08215,0.220375,Training,-129.70076120526952
K2a,-131.5836123,-0.38226,0.11034,-0.2797,-0.23854,0.22004,-0.02333,0.08246,0.22558,Training,-130.87495628852534
K2b,-127.8794801,-0.37204,0.10271,-0.2778,-0.01919,0.20078,-0.01966,0.080845,0.22245,Training,-126.6421857787509
K5a,-142.7549945,-0.39582,0.03647,-0.23127,-0.26407,0.21576,-0.02064,0.084805,0.214785,Training,-139.45489715296324
K5b,-138.7314652,-0.39621,0.03975,-0.23742,-0.04152,0.20766,-0.01845,0.084495,0.21049,Training,-136.59395663649363
K3a,-132.1195481,-0.37493,0.11285,-0.23759,-0.22728,0.21328,0.00504,0.08309,0.22355,Training,-131.55938932109262
K3b,-128.4931359,-0.36424,0.11218,-0.24204,0.00078,0.20766,0.00765,0.081035,0.221485,Training,-127.71768550535074
K4a,-127.660983,-0.3677,0.1283,-0.24057,-0.21799,0.20289,0.01278,0.080725,0.228875,Training,-127.64538438135365
K6a,-133.127053,-0.38224,0.10785,-0.25455,-0.23603,0.22204,-0.00829,0.08425,0.22301,Training,-132.6612507092906
I1a,-134.2494725,-0.38072,0.08714,-0.2423,-0.24457,0.22791,-0.01689,0.08443,0.220955,Training,-134.51152594815127
I2b,-128.2620268,-0.36849,0.10505,-0.28549,-0.0091,0.21492,-0.02198,0.0799,0.22541,Training,-126.25744042589996
I5b,-138.0720688,-0.38834,0.05154,-0.25725,-0.03014,0.23359,-0.0217,0.08543,0.208975,Training,-138.66828137890485
I3b,-127.3583079,-0.35805,0.10669,-0.24373,0.00134,0.20701,0.0081,0.08103,0.222125,Training,-127.39414359632157
I4a,-131.5185108,-0.36004,0.12749,-0.26985,-0.21725,0.22557,0.00377,0.08206,0.225735,Training,-130.7677804096516
I6b,-128.576783,-0.3646,0.10069,-0.26121,-0.00523,0.2169,-0.00551,0.083275,0.22106,Training,-128.6513236151254
