Cofactor,dG_C5,N1_NBO-q,C2_NBO-q,C3_NBO-q,C5_NBO-q,C3_f-,C3sub_f-,C4H_f-,C4H_NBO-q,Set
BMC_071,-129.1241891,-0.37511,0.09893,-0.23691,-0.22748,0.18736,-0.00577,0.07206,0.22712,Training
BMC_072,-125.8294166,-0.36532,0.09388,-0.23905,0.00011,0.1844,-0.00344,0.07179,0.22411,Training
BMC_073,-133.2799529,-0.37839,0.08439,-0.23521,-0.24034,0.22657,-0.01754,0.085685,0.221955,Training
BMC_074,-129.7588417,-0.36815,0.08476,-0.24252,-0.01055,0.22325,-0.01553,0.08372,0.2195,Training
BMC_075,-130.0328508,-0.3682,0.1028,-0.27218,-0.23665,0.2157,-0.02265,0.08199,0.22683,Training
BMC_076,-126.1609668,-0.36318,0.10271,-0.28085,-0.00756,0.21552,-0.02157,0.08148,0.22427,Training
BMC_077,-139.3054184,-0.39539,0.03802,-0.23453,-0.26042,0.2253,-0.02207,0.08697,0.214765,Training
BMC_079,-129.9658568,-0.36469,0.10522,-0.23279,-0.22403,0.21338,0.00489,0.084255,0.224265,Training
BMC_080,-128.4224078,-0.34979,0.1156,-0.25593,0.00608,0.2231,0.00258,0.082445,0.222515,Validation
BMC_081,-125.7867675,-0.35731,0.12154,-0.2374,-0.21436,0.20406,0.01254,0.08153,0.22961,Training
